message,label
Nice work,normal
Thank you,normal
Happy birthday,normal
Nice work,normal
Happy birthday,normal
Thank you,normal
Adult content available,sexual
You are stupid,harassment
You are useless,harassment
Nobody likes you,harassment
Thank you,normal
You are stupid,harassment
Free gift card,spam
Claim your reward,spam
Claim your reward,spam
Nice work,normal
Free gift card,spam
Happy birthday,normal
Meet singles near you,sexual
Thank you,normal
Good morning,normal
Get lost idiot,harassment
You are useless,harassment
Hot girls chat now,sexual
Nice work,normal
Nobody likes you,harassment
Meet singles near you,sexual
Hello friend,normal
You are stupid,harassment
Hot girls chat now,sexual
Earn money fast,spam
Free gift card,spam
Free gift card,spam
Claim your reward,spam
Earn money fast,spam
Adult content available,sexual
Win money now,spam
Free gift card,spam
You are stupid,harassment
Get lost idiot,harassment
Send private pics,sexual
You are useless,harassment
Adult content available,sexual
Nobody likes you,harassment
You are useless,harassment
Claim your reward,spam
Meet singles near you,sexual
You are useless,harassment
Earn money fast,spam
Send private pics,sexual
Adult content available,sexual
Hot girls chat now,sexual
Claim your reward,spam
Get lost idiot,harassment
Hot girls chat now,sexual
How are you,normal
Earn money fast,spam
You are useless,harassment
Nobody likes you,harassment
Nobody likes you,harassment
Adult content available,sexual
Adult content available,sexual
You are useless,harassment
Earn money fast,spam
Nice work,normal
Send private pics,sexual
Get lost idiot,harassment
Good morning,normal
Nice work,normal
Meet singles near you,sexual
Get lost idiot,harassment
Earn money fast,spam
Nice work,normal
Meet singles near you,sexual
You are stupid,harassment
Send private pics,sexual
Happy birthday,normal
Earn money fast,spam
Nobody likes you,harassment
Hot girls chat now,sexual
Free gift card,spam
Happy birthday,normal
Win money now,spam
You are stupid,harassment
Win money now,spam
You are useless,harassment
Get lost idiot,harassment
Nobody likes you,harassment
How are you,normal
Hot girls chat now,sexual
You are useless,harassment
Nice work,normal
Good morning,normal
Claim your reward,spam
Win money now,spam
Hot girls chat now,sexual
Free gift card,spam
Adult content available,sexual
Hot girls chat now,sexual
Earn money fast,spam
Win money now,spam
Thank you,normal
Win money now,spam
You are useless,harassment
Happy birthday,normal
Hello friend,normal
Earn money fast,spam
Send private pics,sexual
Adult content available,sexual
Nice work,normal
How are you,normal
You are useless,harassment
Meet singles near you,sexual
Adult content available,sexual
Hot girls chat now,sexual
How are you,normal
You are stupid,harassment
Earn money fast,spam
Nobody likes you,harassment
Earn money fast,spam
Adult content available,sexual
Free gift card,spam
Adult content available,sexual
Claim your reward,spam
Win money now,spam
Good morning,normal
Win money now,spam
Free gift card,spam
Win money now,spam
Nice work,normal
Good morning,normal
Free gift card,spam
Claim your reward,spam
Claim your reward,spam
Meet singles near you,sexual
Get lost idiot,harassment
Good morning,normal
Hot girls chat now,sexual
Happy birthday,normal
Nice work,normal
Win money now,spam
Hot girls chat now,sexual
Nice work,normal
Meet singles near you,sexual
Hello friend,normal
Free gift card,spam
Thank you,normal
Free gift card,spam
Get lost idiot,harassment
Hello friend,normal
Send private pics,sexual
Nice work,normal
Earn money fast,spam
Adult content available,sexual
You are stupid,harassment
Hot girls chat now,sexual
Claim your reward,spam
Hello friend,normal
Get lost idiot,harassment
Adult content available,sexual
Get lost idiot,harassment
Adult content available,sexual
